
running 1 test
56 0.003247264 0.000663986 0.000055189
22 0.000239044 0.000079212 0.000007803
155 0.042984263 0.004831349 0.000844985
91 0.007403230 0.001233695 0.000127546
251 0.184318877 0.015445266 0.002271700
196 0.088795604 0.007121312 0.001175487
92 0.014672845 0.001909878 0.000166029
16 0.000095140 0.000041358 0.000007667
237 0.151495826 0.011626558 0.002149452
8 0.000016722 0.000009726 0.000003161
35 0.000834905 0.000173703 0.000014983
121 0.020649167 0.003184803 0.000370763
96 0.012335515 0.002102649 0.000199783
209 0.109398719 0.010233871 0.001986294
86 0.009741405 0.001488419 0.000122501
112 0.021229533 0.002972598 0.000386238
180 0.070848495 0.008573378 0.001163081
219 0.153498172 0.012704081 0.002202517
213 0.117769335 0.008846118 0.001853668
104 0.013324975 0.002132482 0.000257140
134 0.030147160 0.003166705 0.000512900
10 0.000024759 0.000014286 0.000003618
122 0.024458855 0.002384377 0.000254449
39 0.000627932 0.000203271 0.000017768
106 0.015868414 0.001790129 0.000189426
186 0.083547250 0.008858997 0.000959535
193 0.084407963 0.007040297 0.001230473
95 0.008679803 0.001307891 0.000134951
45 0.000890589 0.000242208 0.000022065
96 0.012632291 0.001451255 0.000239857
147 0.035020757 0.004809437 0.000730907
189 0.081018743 0.006735076 0.000985414
165 0.049648062 0.004938478 0.000677270
134 0.033110441 0.004622444 0.000612185
20 0.000138016 0.000062636 0.000010967
229 0.166128892 0.011306159 0.002193618
104 0.015736035 0.001701057 0.000210382
66 0.002957845 0.000618244 0.000056262
10 0.000016255 0.000011179 0.000003431
208 0.112238002 0.007951252 0.001209026
115 0.018310700 0.002222946 0.000238068
184 0.075279738 0.008057251 0.001295672
241 0.162139034 0.012184007 0.002087077
8 0.000018044 0.000009279 0.000003534
205 0.098838796 0.008146256 0.001968559
210 0.115482119 0.008345390 0.001394996
152 0.044069106 0.005748151 0.000749950
134 0.029024275 0.002970799 0.000415344
218 0.114669865 0.009983834 0.001557956
106 0.012262781 0.001709189 0.000175201
89 0.009820473 0.001191697 0.000135935
88 0.007512642 0.001621114 0.000152903
223 0.163413259 0.013169418 0.001887624
50 0.002486835 0.000529235 0.000044817
192 0.089033200 0.009525894 0.001689224
96 0.011137059 0.001531823 0.000165170
222 0.135985444 0.010348675 0.002041507
247 0.207633016 0.015411624 0.002995945
